Link_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1220018903,48,48,51,51,48,48,48,48,48,48,48,46,46,48,48,48,48,48,50.700000000000003,52,51,48,48,48
1220018902,60,60,60,60,59.5,59.5,60,60,59.5,58.5,59.5,60.5,60,71,60.5,64,63.5,64,64,68,63.5,64,64,64.5
1220018803,60,50,51,63,57,51.5,57,46,56,49,50,57,58,55,56,49,49.5,60,61,50.5,46.700000000000003,48.5,53,51
1220018802,71.299999999999997,71.299999999999997,69.299999999999997,70,72.5,69,70.299999999999997,70.5,68.5,68.799999999999997,69,68.299999999999997,68,67.5,69.299999999999997,69.5,69.5,75,73.5,68.5,67,68,69,70
1220018702,33,36,36,36,36,36,36,36,37.5,36,34.5,34.5,34.5,34.5,33,34.5,34.5,34.5,34.5,36.5,36.5,36,35,35.5
1220018701,36,38.5,38.5,38.5,39.299999999999997,39.299999999999997,39.299999999999997,38.5,40,36.299999999999997,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.700000000000003,36.700000000000003,36,36.5,36.5
1220018602,28,40,35,35.5,36,38,37,28,34,34,28,28,28,28,40,40,40,40,28,28,33,40,28,37.5
1220018601,20,30,25,32,33,33,24,24,31,31,14,14,14,20,31,31,27,27,37,37,33,25,20,36
1220018508,18,19,21,17,18,23,20,31,31,31,30,30,30,30,30,18,18,20,19,33,24,20,20,19
1220018507,34,31,31,31,31,31,31,39,39,39,45,45,45,45,45,22,22,50,50,44,44,44,44,44
1220018506,34,32,32,32,32,32,32,32,32,32,49,49,49,49,49,50,50,50,50,42,42,42,42,42
1220018505,35,33,33,33,33,33,33,33,33,33,43,43,43,43,43,42,42,42,42,43,43,43,43,43
1220018503,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
1220018408,36,35.700000000000003,36,36,36.700000000000003,35.700000000000003,38.5,38.5,38.5,39,38,37,35.5,37,40,40,37.5,37.5,37.5,37.5,37,37.299999999999997,40,40
1220018407,31.300000000000001,31.5,32,29,31.5,31.5,27.300000000000001,32,26.300000000000001,34,31,34,32,31.5,33.5,32,27,29,27,27,34.5,35,33,32.5
1220018406,38,38,38,38,38,38,48,48,33,47,33,35,33,45,45,45,44,44,44,44,44,44,51,51
1220018405,31,35,33,28,38,35,30,32,27,43,41,35,31,45,48,44,38,38,38,38,38,38,50,50
1220018404,31,35,33,31,33.5,34,30.5,31.5,34,33.5,29.699999999999999,34.700000000000003,33.299999999999997,32.299999999999997,33.700000000000003,32,33,32.299999999999997,33,33,34,34.299999999999997,34.700000000000003,34.299999999999997
1220018300,38.5,37,37,32,37,34.299999999999997,35,30,37,36,34.700000000000003,37,37,32,31,27,36,41,37,37,37,37,37,41
1220018200,36,33,38,38,28,37,42,32,39,33,41,38,35,38,38,28,41,40,41,39,38,39.5,36,43
1220018104,25,25,25,25,25,25,27.5,27.5,27.5,22,29,29,29,22,29,22,22,29,29,29,26.5,26.5,26.5,26.5
1220018103,23,23,23,23,23,23,23,23,23,19,21.5,21.5,21.5,19,21.5,19,19,23,23,23,23.5,23.5,23.5,23.5
1220018102,24,26,26,26,26,26,26,26,26,22,22,22,22,22,22,22,22,23,23,23,24,24,24,24
1220018004,14,14,14,14,22,14,14,14,14,14,14,15,15,15,15,15,15,15.5,15.5,16,15,15,15,15
1220018003,21,21,21,21,22,22,22,21,21,21,21,21,15,15,15,15,15,21,21,21,19.5,21,21,21
1220018002,20,20,24,24,26,25,25,24,24,24,24,24,20,20,20,20,20,20,20,20,20,20,20,20
1220017900,26,26,27.5,27.5,26,26,26,26,35,34.5,34.5,35,28,29,30,32.5,32.5,35,35,26,34,34,34.5,26
1220017800,23,23.5,23.5,23.5,24,24,24.5,24.5,24.5,25,25,24,24,24,24,18,30,30,30,19,19,19,19,36
1220017700,14,18,18,13,14,19,13,14,19,14,18,14,14,14,14.5,14.5,17,16,16,17,16,16,16,17
1220017600,21,21,18,18,21,18,18,18,18,18.5,19,19,19,19,19,21,27,20,21,19,19.5,20.5,21,21
1220017500,19,27,26,19,19,23,23.5,19,24,21,22.5,24,24,24.5,23,23,24,24,24,25.300000000000001,24.5,24.5,24,22
1220017400,17.5,16,22,23,20.5,18,16,17,15,16,16,15,15,15,15,15,15,16,17,17,19,17,19,17.5
1220017300,30,29,29,29,36,36,36,36,36,26,26,21,21,20,20,20,35,24,28,31,31,31,30.5,28
1220017202,26,26.5,25,31,32,19,19,19,19,21,36,17,17,27,19,19,19,19,19,19,19,31,19,19
1220017102,63,59.5,59.5,52,52,51.700000000000003,51.700000000000003,52,51,52.299999999999997,50.700000000000003,53,52,52,53,54,52,53,56,52,53,71,71,71.5
1220017101,60.299999999999997,60.299999999999997,60.299999999999997,52,49,51.5,56.200000000000003,57.700000000000003,60.5,60.5,59,57.200000000000003,49,59,59,57.700000000000003,49,51,52.5,48.5,57,60,60,51
1220017002,69.700000000000003,67.299999999999997,63,67.299999999999997,72,65.5,65.5,71.299999999999997,66,70,69,70,66,70,68,69.700000000000003,70.700000000000003,70.700000000000003,71.700000000000003,63.5,70,65,65.299999999999997,68.5
1220017001,41,42.5,43,48,41,39.5,39,40,41.299999999999997,40,39.299999999999997,40,39.5,40.299999999999997,34.5,40.700000000000003,41,40.5,40,38.5,41,40.5,38.299999999999997,42
1220016800,34.299999999999997,34.299999999999997,34,34,34,34.299999999999997,34.299999999999997,34.5,34.299999999999997,34.5,34.5,34.5,34.5,35,35,35.700000000000003,35,35,35,35,34.299999999999997,34.5,34.299999999999997,35
