,year_avg_velocity
811,18.95475224700945
812,46.03224273354605
813,34.24672386139312
814,8.806604272419628
815,53.96616378586237
816,20.31997104909416
817,26.03879385322618
818,27.052053663465713
819,18.371904488276844
820,25.377273800543858
821,24.807362702225
822,27.361009824766793
823,19.351529008980464
824,37.397096267071944
825,26.051504329847067
826,32.692212616328256
827,21.87019370520646
828,14.011486498837543
829,14.424086115149139
830,48.58077397053348
831,22.566529546695715
832,22.52808071164445
833,16.717422734931304
834,27.7653778342964
835,22.53345555339368
836,30.001161548423013
837,11.642904805518514
838,22.42069881673728
839,42.00501097600069
840,21.58090344647936
841,24.47878197822205
842,25.319239543779247
843,13.887221076565144
844,19.681187870135364
845,21.669788001286935
846,28.823998607758135
847,71.75625484701072
848,17.261026493251087
849,14.296812355484724
850,26.063090454032714
851,18.866649922447827
852,25.289752897810143
853,20.63667077905232
854,12.813557323062078
855,13.812770940325587
856,25.66844095056903
857,20.89303086695534
858,29.18766744218838
859,45.97325773717856
860,37.1626390563655
861,45.62959342909209
862,39.17464583429723
863,28.45188786333991
864,13.99162351432925
865,38.87103260726627
866,17.041580742385786
867,16.14139843901469
868,17.691025563437456
869,21.524611303648975
870,13.44098806623275
871,18.36384169422027
872,25.097519880489514
873,18.70246845036661
874,22.760785377704686
875,18.486823971098048
876,16.889946431409015
877,18.438591407909275
878,32.240244289340104
879,23.046579902076612
880,19.441887435439746
881,21.147234667645158
882,19.52214644981251
883,26.32276819253869
884,26.662641027184844
885,14.300197405527355
886,34.68057008281779
887,27.354727459437957
888,31.078688525239155
889,25.419406454104593
890,39.5635015807176
891,18.49431864420573
892,29.62139474747212
893,42.10183417185242
894,21.13208918778559
895,21.035292395749337
896,13.51080663071066
897,20.307852003309463
898,18.08387838106537
899,14.249655952173912
900,19.711726929330585
901,27.90151337668241
902,12.819092390702663
903,17.246426431190073
904,14.57415572466046
905,22.64923285039481
906,61.42187460411489
907,28.299330232107096
908,29.14516631426007
909,18.21476663846588
910,14.962812407569434
911,30.79061470096285
912,25.170348200230563
913,48.36310360086078
914,20.242879227467736
915,14.13095521362098
916,34.723681170726586
917,13.512596504740706
918,29.28293919872579
919,18.492077409515122
920,75.35647123436839
921,14.705166921599464
922,18.24635968151835
923,21.800849432603695
924,30.111282000081793
925,21.444374803090188
926,14.811928443026556
927,27.018844281759762
928,16.419929127873367
929,23.38848086904148
930,21.448888241874922
931,45.92893793457858
